        40	         8
        34	        35	        38	        37	         1	         2	         5	         4	
        35	        36	        39	        38	         2	         3	         6	         5	
        37	        38	        41	        40	         4	         5	         8	         7	
        38	        39	        42	        41	         5	         6	         9	         8	
        40	        41	        44	        43	         7	         8	        11	        10	
        41	        42	        45	        44	         8	         9	        12	        11	
        43	        44	        47	        46	        10	        11	        14	        13	
        44	        45	        48	        47	        11	        12	        15	        14	
        46	        47	        50	        49	        13	        14	        17	        16	
        47	        48	        51	        50	        14	        15	        18	        17	
        49	        50	        53	        52	        16	        17	        20	        19	
        50	        51	        54	        53	        17	        18	        21	        20	
        52	        53	        56	        55	        19	        20	        23	        22	
        53	        54	        57	        56	        20	        21	        24	        23	
        55	        56	        59	        58	        22	        23	        26	        25	
        56	        57	        60	        59	        23	        24	        27	        26	
        58	        59	        62	        61	        25	        26	        29	        28	
        59	        60	        63	        62	        26	        27	        30	        29	
        61	        62	        65	        64	        28	        29	        32	        31	
        62	        63	        66	        65	        29	        30	        33	        32	
        67	        68	        71	        70	        34	        35	        38	        37	
        68	        69	        72	        71	        35	        36	        39	        38	
        70	        71	        74	        73	        37	        38	        41	        40	
        71	        72	        75	        74	        38	        39	        42	        41	
        73	        74	        77	        76	        40	        41	        44	        43	
        74	        75	        78	        77	        41	        42	        45	        44	
        76	        77	        80	        79	        43	        44	        47	        46	
        77	        78	        81	        80	        44	        45	        48	        47	
        79	        80	        83	        82	        46	        47	        50	        49	
        80	        81	        84	        83	        47	        48	        51	        50	
        82	        83	        86	        85	        49	        50	        53	        52	
        83	        84	        87	        86	        50	        51	        54	        53	
        85	        86	        89	        88	        52	        53	        56	        55	
        86	        87	        90	        89	        53	        54	        57	        56	
        88	        89	        92	        91	        55	        56	        59	        58	
        89	        90	        93	        92	        56	        57	        60	        59	
        91	        92	        95	        94	        58	        59	        62	        61	
        92	        93	        96	        95	        59	        60	        63	        62	
        94	        95	        98	        97	        61	        62	        65	        64	
        95	        96	        99	        98	        62	        63	        66	        65	
